# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      59.403      332.100      259.250   399966.203
      59.512      325.500      258.625   399965.203
      59.622      313.600      260.453   399967.203
      59.732      315.300      261.281   399968.203
      59.832      325.800      258.391   399965.203
      59.938      266.400      255.219   399961.203
      60.048      329.800      256.172   399962.203
      60.158      333.100      257.047   399963.203
      60.263      322.900      256.641   399963.203
      60.371      321.500      256.656   399963.203
      60.477      318.400      255.219   399961.203
      60.580      335.700      256.031   399962.203
      60.683      326.000      254.219   399960.203
      60.793      313.700      254.219   399960.203
      60.903      332.200      254.219   399960.203
      61.004      327.700      255.219   399961.203
      61.114      236.300      254.219   399960.203
      61.223      336.600      255.219   399961.203
      61.324      315.300      261.125   399967.203
      61.429      328.700      260.656   399967.203
      61.534      330.200      261.328   399968.203
      61.641      326.900      260.484   399967.203
      61.742      302.000      256.188   399962.203
      61.843      323.600      256.062   399962.203
      61.953      338.200      256.453   399963.203
      62.061      332.300      258.594   399965.203
      62.167      342.200      258.469   399965.203
      62.270      336.900      256.609   399963.203
      62.378      326.100      258.688   399965.203
      62.488      315.900      256.016   399962.203
      62.599      341.000      258.891   399965.203
      62.699      328.300      256.234   399963.203
      62.802      296.100      254.656   399961.203
      62.907      292.000      255.219   399961.203
      63.011      316.000      254.219   399960.203
      63.121      287.000      255.219   399961.203
      63.223      321.500      255.219   399961.203
      63.332      279.900      256.391   399963.203
      63.435      338.600      256.328   399963.203
      63.544      333.800      256.375   399963.203
      63.649      259.900      254.219   399960.203
      63.757      233.900      255.219   399961.203
      63.862      279.100      257.484   399964.203
      63.962      318.300      256.234   399963.203
      64.072      330.600      256.016   399962.203
      64.173      266.700      255.219   399961.203
      64.282      261.900      254.219   399960.203
      64.392      304.600      255.219   399961.203
      64.502      307.000      255.219   399961.203
      64.606      276.100      259.250   399966.203
      64.716      330.700      258.703   399965.203
      64.826      316.100      258.609   399965.203
      64.937      336.800      258.734   399965.203
      65.045      322.600      259.094   399965.203
      65.160      315.600      254.219   399960.203
      65.270      315.600      260.969   399967.203
      65.374      334.900      260.734   399967.203
      65.475      335.700      259.000   399965.203
      65.583      275.600      255.219   399961.203
      65.684      320.600      256.219   399962.203
      65.795      332.300      256.328   399963.203
      65.905      321.400      256.719   399963.203
      66.014      329.100      256.156   399962.203
      66.121      297.000      257.094   399963.203
      66.223      335.100      256.094   399962.203
      66.334      347.000      256.188   399962.203
      66.440      330.900      256.203   399962.203
      66.542      341.600      256.312   399963.203
      66.651      327.500      255.938   399962.203
      66.754      290.300      255.219   399961.203
      66.863      336.500      255.219   399961.203
      66.965      330.800      254.281   399961.203
      67.066      332.000      255.219   399961.203
      67.173      331.300      254.219   399960.203
      67.281      293.600      254.219   399960.203
      67.382      281.900      255.219   399961.203
      67.490      322.900      255.219   399961.203
      67.601      331.600      254.219   399960.203
      67.704      331.500      254.219   399960.203
      67.813      331.900      260.906   399967.203
      67.923      344.500      254.219   399960.203
      68.030      329.700      260.781   399967.203
      68.131      351.600      260.828   399967.203
      68.241      327.500      260.891   399967.203
      68.344      343.700      261.000   399967.203
      68.455      327.100      260.922   399967.203
      68.557      341.600      258.391   399965.203
      68.668      317.900      260.812   399967.203
      68.772      335.600      258.422   399965.203
      68.875      340.000      258.641   399965.203
      68.982      338.000      258.609   399965.203
      69.092      325.000      258.156   399964.203
      69.197      332.600      258.766   399965.203
      69.307      330.600      258.625   399965.203
      69.417      338.000      258.328   399965.203
      69.525      336.900      258.984   399965.203
      69.632      326.100      258.969   399965.203
      69.737      318.400      258.516   399965.203
      69.847      323.700      247.344   399959.203
      69.958      333.000      260.016   399966.203
      70.062      310.900      258.609   399965.203
      70.168      219.500      255.406   399961.203
      70.277      327.600      261.578   399968.203
      70.381      326.800      259.000   399965.203
      70.492      331.100      259.188   399965.203
      70.601      323.300      260.859   399967.203
      70.708      333.800      258.688   399965.203
      70.810      345.700      258.719   399965.203
      70.919      338.400      258.719   399965.203
      71.029      335.800      260.281   399966.203
      71.138      327.400      258.469   399965.203
      71.246      296.700      256.328   399962.203
      71.354      323.000      257.078   399963.203
      71.457      332.300      256.188   399962.203
      71.567      329.300      256.906   399963.203
      71.677      333.800      257.031   399963.203
      71.787      321.700      256.984   399963.203
      71.898      337.900      258.891   399965.203
      72.003      334.000      258.953   399965.203
      72.108      340.300      256.422   399962.203
      72.211      310.500      256.828   399963.203
      72.314      252.400      255.469   399961.203
      72.424      329.200      254.469   399960.203
      72.532      331.300      254.469   399960.203
      72.642      330.700      254.469   399960.203
      72.753      294.900      254.469   399960.203
      72.862      330.600      261.344   399967.203
      72.972      347.000      255.469   399961.203
      73.075      337.600      261.297   399967.203
      73.185      322.400      261.219   399967.203
      73.290      348.400      258.953   399965.203
      73.396      327.600      259.094   399965.203
      73.499      332.400      258.891   399965.203
      73.602      329.600      257.203   399963.203
      73.706      329.500      256.875   399963.203
      73.813      246.500      254.469   399960.203
      73.917      313.300      254.469   399960.203
      74.026      279.300      259.625   399966.203
      74.129      323.600      258.859   399965.203
      74.233      333.400      256.891   399963.203
      74.342      334.300      256.922   399963.203
      74.452      328.000      257.156   399963.203
      74.556      330.100      256.703   399963.203
      74.662      342.100      256.531   399963.203
      74.771      322.000      255.469   399961.203
      74.882      258.000      254.469   399960.203
      74.987      302.300      261.328   399967.203
      75.093      345.900      259.562   399966.203
      75.203      336.600      261.109   399967.203
      75.309      270.000      254.828   399961.203
      75.418      234.700      258.141   399964.203
      75.523      310.100      254.516   399961.203
      75.631      335.100      255.469   399961.203
      75.742      344.800      255.469   399961.203
      75.842      321.600      255.469   399961.203
      75.947      324.300      254.469   399960.203
      76.055      339.600      254.469   399960.203
      76.162      351.900      254.469   399960.203
      76.273      333.800      254.469   399960.203
      76.383      334.700      244.469   399950.203
      76.484      332.800      239.500   399946.203
      76.588      334.100      253.984   399961.203
      76.691      302.900      255.469   399961.203
      76.802      329.800      254.469   399960.203
      76.906      336.500      255.469   399961.203
      77.008      334.300      255.469   399961.203
      77.118      340.700      254.469   399960.203
      77.218      340.000      261.469   399967.203
      77.329      336.200      261.391   399967.203
      77.432      339.000      259.125   399965.203
      77.537      352.800      258.672   399965.203
      77.639      333.300      258.797   399965.203
      77.749      346.800      258.594   399965.203
      77.855      335.800      258.406   399964.203
      77.963      324.900      259.219   399965.203
      78.065      336.300      256.859   399963.203
      78.168      322.000      256.609   399963.203
      78.275      336.700      256.859   399963.203
      78.378      338.000      255.469   399961.203
      78.488      348.500      255.469   399961.203
      78.598      312.300      255.469   399961.203
      78.709      328.000      254.469   399960.203
      78.813      263.200      258.906   399965.203
      78.914      315.200      258.859   399965.203
      79.023      338.600      258.469   399964.203
      79.126      337.200      256.609   399963.203
      79.233      322.600      256.172   399962.203
      79.340      334.900      256.750   399963.203
      79.440      335.100      255.469   399961.203
      79.550      343.100      256.344   399962.203
      79.659      327.600      255.469   399961.203
      79.769      269.000      254.469   399960.203
      79.870      277.500      255.469   399961.203
      79.980      334.100      255.469   399961.203
      80.084      335.700      261.344   399967.203
      80.195      329.000      255.469   399961.203
      80.305      326.900      255.469   399961.203
      80.411      342.800      254.469   399960.203
      80.516      329.000      258.500   399965.203
      80.621      253.100      255.469   399961.203
      80.732      301.400      254.469   399960.203
      80.837      334.000      255.469   399961.203
      80.947      352.800      254.469   399960.203
      81.057      316.800      255.469   399961.203
      81.161      282.900      255.469   399961.203
      81.263      302.600      255.469   399961.203
      81.373      333.900      255.469   399961.203
      81.483      330.700      255.469   399961.203
      81.591      337.500      255.469   399961.203
      81.692      325.700      255.469   399961.203
      81.799      339.400      255.469   399961.203
      81.910      338.000      254.469   399960.203
      82.011      308.700      257.234   399963.203
      82.121      281.200      254.469   399960.203
