# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      57.128      121.400      317.594   402449.828
      57.230       89.300      317.594   402449.828
      57.334       85.200      317.594   402449.828
      57.442       73.900      317.594   402449.828
      57.546       81.600      317.594   402449.828
      57.656       77.200      317.594   402449.828
      57.762      107.500      317.594   402449.828
      57.873       77.200      317.594   402449.828
      57.975      101.900      317.594   402449.828
      58.081      115.000      317.594   402449.828
      58.182       85.600      317.594   402449.828
      58.283      105.200      317.594   402449.828
      58.392       81.800      317.594   402449.828
      58.494       82.900      317.594   402449.828
      58.605       69.100      317.594   402449.828
      58.712      104.400      317.594   402449.828
      58.814      105.000      317.594   402449.828
      58.923      115.800      317.594   402449.828
      59.033       98.500      317.594   402449.828
      59.138       91.700      317.594   402449.828
      59.248      113.500      317.594   402449.828
      59.358      129.600      317.594   402449.828
      59.464      100.700      317.594   402449.828
      59.575       74.700      317.594   402449.828
      59.681       98.400      317.594   402449.828
      59.791      101.500      317.594   402449.828
      59.897       98.900      317.594   402449.828
      60.000      101.600      317.594   402449.828
      60.103       94.000      317.594   402449.828
      60.207       96.400      317.594   402449.828
      60.317      125.300      317.594   402449.828
      60.421      117.100      317.594   402449.828
      60.525       91.400      317.594   402449.828
      60.632      110.300      317.594   402449.828
      60.732       77.600      317.594   402449.828
      60.841       81.400      317.594   402449.828
      60.946       93.800      317.594   402449.828
      61.056      118.100      317.594   402449.828
      61.160       92.200      317.609   402449.828
      61.270       96.200      317.609   402449.828
      61.381       79.400      317.609   402449.828
      61.489       94.100      317.609   402449.828
      61.593       97.100      317.609   402449.828
      61.701      105.900      317.609   402449.828
      61.801       85.800      317.609   402449.828
      61.904       80.900      317.609   402449.828
      62.007      100.900      317.609   402449.828
      62.114      116.700      317.609   402449.828
      62.221       93.100      317.609   402449.828
      62.325       91.300      317.609   402449.828
      62.430       84.700      317.609   402449.828
      62.531       86.500      317.609   402449.828
      62.638      110.300      317.609   402449.828
      62.748       88.100      317.609   402449.828
      62.856      116.300      317.609   402449.828
      62.961       81.600      317.609   402449.828
      63.062       76.000      317.609   402449.828
      63.163       93.500      317.609   402449.828
      63.273       88.000      317.609   402449.828
      63.381       85.500      317.609   402449.828
      63.482       95.400      317.609   402449.828
      63.586      121.800      317.609   402449.828
      63.696      108.900      317.609   402449.828
      63.803      104.300      317.609   402449.828
      63.904      107.000      317.609   402449.828
      64.004       92.600      317.609   402449.828
      64.105       78.700      317.609   402449.828
      64.212       97.200      317.609   402449.828
      64.321      107.500      317.609   402449.828
      64.423       99.300      317.609   402449.828
      64.524       72.900      317.609   402449.828
      64.635       80.200      317.609   402449.828
      64.738       92.800      317.609   402449.828
      64.841       95.500      317.609   402449.828
      64.941       92.000      317.609   402449.828
      65.050       88.100      317.609   402449.828
      65.154       95.200      317.609   402449.828
      65.262       93.800      340.750   402483.500
      65.369       89.700      340.750   402483.500
      65.479       96.900      340.766   402483.500
      65.589       99.700      340.766   402483.500
